Layer Height (microns),Infill (%),Material / Color,Weight (grams),Number of build plates,Cost Filament ,Price Paid,Gross Profit,Date
200,20,PLA,236.67,3,$5.21,$50.50,$45.29, 7 May 2018
200,20,PLA,93.33,1,$2.05,$19.00,$16.95, 11 May 2018
200,20,PLA,45,1,$0.99,$11.75,$10.76, 15 May 2018
200,20,PLA,210,3,$4.62,$46.50,$41.88, 15 May 2018
200,20,PLA,33.33,1,$0.73,$10.00,$9.27, 16 May 2018
200,20,PLA,150,3,$3.30,$37.50,$34.20, 24 May 2018
200,20,PLA,10,1,$0.22,$6.50,$6.28, 25 May 2018
200,20,PLA,148.33,3,$3.26,$37.25,$33.99, 28 May 2018
200,20,PLA,83.33,1,$1.83,$17.50,$15.67, 13 Jun 2018
200,20,PLA,420,5,$9.24,$88.00,$78.76, 15 May 2018
200,20,PLA,81.67,1,$1.80,$17.25,$15.45, 13 May 2018
200,20,PLA,96.67,2,$2.13,$24.50,$22.37, 26 Jun 2018
